"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.PRY.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Paraguay","Annual","Millions","77.597769","85.826603","105.153146","90.576168","66.201966","87.375837","92.456318","110.182626","111.17538"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.ERI.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Eritrea, The State of","Annual","Millions","1.167512","2.874095","0.977351","0.947558","1.359008","1.041401","0.386942","1.319037","0.206721"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.BRB.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Barbados","Annual","Millions","36.820018","92.248068","32.162052","64.180106","110.29476","59.685837","43.429774","119.18204","109.900723"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.GRL.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Greenland","Annual","Millions","0.077794","0.00541","","0.056546","0.041504","0.028216","0.051526","0.013409","0.042135"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.BRA.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Brazil","Annual","Millions","2792.819043","3395.882137","4004.035503","3763.155309","2942.870273","4184.808216","4332.300038","4241.483317","4633.544996"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.LBR.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Liberia","Annual","Millions","1090.461427","807.980177","1157.463744","2023.423439","2155.663411","2409.935691","2666.512832","2773.913998","1674.727069"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.FIN.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Finland","Annual","Millions","364.99791","396.398742","491.580262","464.903645","389.925264","473.059475","477.39151","442.294102","381.761169"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.TX799.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Africa not specified","Annual","Millions","0.051629","0.079485","","1.231605","0.261651","0.302424","0.115045","0.080557","0.174402"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.GEO.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Georgia","Annual","Millions","177.046865","191.040997","254.816267","337.062427","121.845496","171.309084","286.061544","424.049133","557.15254"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.NAM.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Namibia","Annual","Millions","27.996301","21.727907","23.239481","22.179244","21.92133","21.871068","25.198487","26.208264","33.931898"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.URY.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Uruguay","Annual","Millions","56.264153","63.161595","63.984638","52.80704","40.375677","66.353793","70.384713","76.158887","66.737286"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.TUR.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Türkiye, Republic of","Annual","Millions","2851.837404","3163.961468","3201.168415","2514.658534","2657.086123","3178.871027","3213.72611","3982.106615","3450.600731"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.TCD.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Chad","Annual","Millions","64.92717","0.102191","0.202012","0.069559","0.075652","0.094923","0.163713","0.330798","0.257134"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.TX799.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Africa not specified","Annual","Millions","4.234031","3.795664","3.529629","4.9382","4.375343","5.188731","3.148054","10.2036","7.505315"
"IMF.STA:IMTS(1.0.0)","JPN.TBG_USD.NAM.A","OBS_VALUE","Japan","Trade balance goods, US dollar","Namibia","Annual","Millions","19.186981","13.56181","10.626444","10.878155","9.408637","12.201412","10.020623","18.528887","27.848285"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.EGY.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Egypt, Arab Republic of","Annual","Millions","1143.049102","836.768317","994.44991","910.519582","970.349707","1089.853835","783.628006","674.599877","727.440567"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.TGO.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Togo","Annual","Millions","43.025631","29.521331","31.090792","29.313506","29.089838","27.963081","29.155499","22.166352","30.905445"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.TX884.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Europe not specified","Annual","Millions","0.248182","0.411726","0.394223","0.221081","0.07179","0.768543","0.445348","0.130167","0.366155"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.VAT.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Holy See","Annual","Millions","","","","","0.142112","","","","0.02542"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.FSM.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Micronesia, Federated States of","Annual","Millions","","24.959692","19.326987","17.958447","17.182075","15.046412","15.237575","16.772002","14.963726"
